method,k,silhouette,bic,aic,elapsed_seconds,adjusted_rand,normalized_mutual_info
GMM,2,0.1840398395399618,72342.6752160996,71481.9970930464,5.021594799996819,0.02611978280738345,0.027681510139353754
GMM,3,0.11020846898516763,69716.22710248973,68422.43353686784,0.16342949998215772,0.03596022080412156,0.03559142365980141
GMM,4,0.07603352776340815,68666.96305950981,66940.05405131921,0.39190139999845996,0.036203360181489785,0.038309130159474306
GMM,5,-0.009617409264196214,68025.64393654208,65865.61948578278,0.5395605000085197,0.025932525155330628,0.03335128295594998
GMM,6,-0.020035914689688645,67132.9536060402,64539.813712712195,0.7060962000105064,0.03726923695100211,0.050072214230490734
GMM,7,-0.03083216601072289,66468.74773754891,63442.492401652205,0.7926412999804597,0.03349393892956828,0.057404259030385
GMM,8,-0.03987225410303646,65890.79544037064,62431.42466190523,0.6958916000148747,0.035943950410246124,0.05641392488030919
GMM,9,-0.03011233995241446,65962.20493351079,62069.718712476664,1.039424400019925,0.040417911414310455,0.06414646900817585
GMM,10,-0.014366742406358423,66128.04495893887,61802.44329533605,1.0264443999913055,0.039793085189844854,0.06266466997092157
